species,day,cell_density,growth_rate,PO4,DIN,C,N,P,RNA,DNA,protein,chlorophyll_a,carbohydrate,lipid
Thalassiosira weissflogii,11,37995,-0.056272488,7.3622,0,387.7194511,8.613725914,4.010074062,1.355954578,1.81239283,41.81299294,2.20557476,704.3758775,100.2070575
Thalassiosira weissflogii,11,35763.75,-0.068041736,8.3686,0,377.7098275,8.505759397,4.072565385,1.352748151,1.886985606,49.04486028,2.118009646,692.8651754,105.4457451
Thalassiosira weissflogii,11,39078.75,0.045045146,8.37545,0,338.0512933,7.782836128,3.856703123,1.330358829,1.826104216,46.28246392,1.789070381,657.0721195,93.71946681
Thalassiosira weissflogii,16,40385.625,0.018319907,4.80215,0,414.5124579,7.265418227,4.240809845,0.771731087,1.759820063,46.43816099,1.389450359,749.0383968,111.3211185
Thalassiosira weissflogii,16,39843.75,0.014504686,7.7327,0,380.3271794,7.788680813,3.876998707,0.99351915,1.724977117,45.45187973,1.408346883,673.5712162,112.8350857
Thalassiosira weissflogii,16,39971.25,0.107666912,6.8554,0,451.1298795,7.661065566,3.737306966,1.094745401,1.875983448,53.33413728,1.181743687,662.6692507,
Ostreococcus tauri,0,8007000,0.523646312,,104.99,0.281430219,0.06578474,0.012677724,0.039529438,0.019731566,0.265430237,0.009732342,0.187897743,0.080947689
Ostreococcus tauri,0,8032500,0.537636881,,98.669,0.287610384,0.049587997,0.010383797,0.029837462,0.018912452,0.297234455,0.010646691,0.203634123,0.075157635
Ostreococcus tauri,0,8606250,0.831132924,,105.58,0.263033721,0.045350641,0.014112294,0.032230661,0.017316754,0.297786383,0.007828569,0.228211411,0.078754135
Ostreococcus tauri,2,5788500,0.860601826,11.8776,9.8104,0.281430219,0.06578474,0.013581945,0.021285888,0.012481024,0.322345224,0.008796996,0.209494445,0.087241945
Ostreococcus tauri,2,5482500,0.755517511,11.1649,9.8142,0.287610384,0.049587997,0.01146369,0.02826508,0.016027418,0.247939986,0.008109172,0.20118801,0.089635854
Ostreococcus tauri,2,4972500,0.657879042,6.8376,7.6516,0.263033721,0.045350641,0.014668934,0.028464935,0.021047,0.226753207,0.009123349,0.205329344,0.082774098
Ostreococcus tauri,3,10302000,0.57646486,,0,0.271954047,0.04307517,0.009391458,,,,,,
Ostreococcus tauri,3,10149000,0.615813977,,0,0.283697737,0.044127581,0.011180238,,,,,,
Ostreococcus tauri,3,9639000,0.661894637,,0,0.26680581,0.045426771,0.009811702,,,,,,
Ostreococcus tauri,4,13005000,0.232995848,12.5955,0,0.30314848,0.03540984,0.009877703,0.010761587,0.019308929,0.180249957,0.008164465,0.228621053,0.095689692
Ostreococcus tauri,4,12699000,0.224148072,12.36415,0,0.310951989,0.036791593,0.008448043,0.010510357,0.019068148,0.181197033,0.007615349,0.252875711,0.092745711
Ostreococcus tauri,4,11755500,0.198503847,12.03045,0,0.311142066,0.038973653,0.010426639,0.011719766,0.020361236,0.19695466,0.00793263,0.224816264,0.117202822
Ostreococcus tauri,7,15200890,-0.013143392,13.3774,0,0.326298358,0.030186987,0.009415213,0.004734922,0.01602936,0.14776996,0.006372648,0.288327305,0.168734349
Ostreococcus tauri,7,16014000,0.194497292,12.316,0,0.309170854,0.027112743,0.008079672,0.004641176,0.015637004,0.156499189,0.006249613,0.261816749,0.142375422
Ostreococcus tauri,7,15045000,0.105360516,12.7282,0,0.343679686,0.029960092,0.00943821,0.005645764,0.01628146,0.16131026,0.006816948,0.253244632,0.156862745
Ostreococcus tauri,11,14662500,0,12.60845,0,0.375645638,0.028790853,0.008750541,0.002573087,0.011322098,0.130140992,0.006291514,0.339567281,0.194111089
Ostreococcus tauri,11,14356500,-0.077443349,12.14855,0,0.366191489,0.026878305,0.010618308,0.002948975,0.010330679,0.151427139,0.006859777,0.329998728,0.176816184
Ostreococcus tauri,11,15342500,-0.043367229,12.2319,0,0.34537417,0.025027114,0.008798867,0.002164366,0.011238031,0.150508768,0.006418927,0.311851714,0.182499593
Ostreococcus tauri,14,13336500,-0.04066452,,,0.55386329,0.035924946,0.011529029,,,0.172593056,0.006404983,0.449911563,0.191954411
Ostreococcus tauri,14,13540500,-0.033372135,,,0.425569746,0.031290673,0.011986661,,,0.162583063,0.00635652,0.392619377,0.186108342
Ostreococcus tauri,14,12520500,-0.075355717,,,0.472538912,0.033609165,0.013803491,,,0.176759906,0.0071341,0.461887625,0.199672537
Micromonas sp.,0,8619000,0.363977828,13.114,53.379,0.558298425,0.101498067,0.021002851,0.043155954,0.023382687,0.562916766,0.01694498,0.245790022,0.155986129
Micromonas sp.,0,9001500,0.357794431,11.353,52.636,0.572703591,0.103729459,0.022031661,0.044893567,0.024966027,0.557469419,0.017478568,0.281009289,0.15923272
Micromonas sp.,0,8670000,0.336804472,16.897,60.575,0.613724493,0.108526526,0.021482868,0.044940553,0.024322949,0.597532842,0.017813036,0.28773906,0.183604597
Micromonas sp.,5,10480500,0.135533027,,,0.561327892,0.067264261,0.012529087,,,,,,
Micromonas sp.,5,10888500,0.162921486,,,0.550025288,0.066068717,0.011085232,,,,,,
Micromonas sp.,5,11118000,0.238346681,,,0.527494582,0.062926766,0.012035666,,,,,,
Micromonas sp.,6,11781000,0.116971677,12.49765,0,0.526801634,0.059556931,0.009624321,0.013889104,0.022008415,0.392616535,0.010800083,0.448873869,0.251110545
Micromonas sp.,6,11271000,0.034525869,12.17285,0,0.562092513,0.063132498,0.012298301,0.013283824,0.024035483,0.326975576,0.011613371,0.381577224,0.266306735
Micromonas sp.,6,11398500,0.024916351,12.3961,0,0.542666287,0.060670104,0.010658616,0.022935072,0.02637245,0.286240727,0.011601156,0.38660811,0.243019847
Micromonas sp.,8,11016000,0.00599104,12.2974,0,0.617339168,0.063565233,0.012034876,0.012658356,0.022307291,0.389764,0.011620201,0.461467391,0.286480047
Micromonas sp.,8,11857500,0.008877577,12.44465,0,0.559514728,0.054042674,0.012005223,0.013577526,0.023716164,0.32095786,0.010750974,0.371485216,0.285671152
Micromonas sp.,8,11551500,-0.016740025,12.52435,0.4697,0.582237925,0.061869454,0.010740212,0.013846874,0.02479168,0.304793,0.011296178,0.400566463,0.283887027
Micromonas sp.,11,11900000,0.010772097,12.65015,0,0.611948774,0.058384454,0.011133608,0.011427607,0.022606167,0.290341538,0.010722826,0.41212875,0.318238406
Micromonas sp.,11,11007500,-0.01532597,12.93975,0,0.673362009,0.064114717,0.007922352,0.013871229,0.023396846,0.375412293,0.011559007,0.39884502,0.349088584
Micromonas sp.,11,12197500,0.018994591,13.0874,0.9356,0.615649097,0.058633865,0.010645193,0.014146403,0.023210911,0.345449903,0.01053128,0.428697586,0.292257825
Micromonas sp.,17,12027500,0.012103718,12.7452,0.0637,0.617841186,0.058960006,0.008727842,0.015787225,0.023429826,0.337944058,0.010321874,0.410713498,0.33199381
Micromonas sp.,17,12112500,0.013883339,12.9826,0,0.611466205,0.057621226,0.008191842,0.013096185,0.021089644,0.317902961,0.010145402,0.43060818,0.312464167
Micromonas sp.,17,12112500,0.005123526,13.0781,0,0.634215233,0.05343891,0.008429218,0.012152545,0.021770068,0.297325754,0.010286357,0.553963896,0.308641975
